Date,IMOEX.ME,XU100.IS,^BSESN,^BVSP,^JKSE,^MXX
2015-09-28,1616.3599853515625,73315.0,25616.83984375,43957.0,4120.38037109375,41893.51171875
2015-09-29,1630.510009765625,74257.6015625,25778.66015625,44132.0,4178.2841796875,42121.51171875
2015-09-30,1642.969970703125,74205.5,26154.830078125,45059.0,4223.783203125,42632.5390625
2015-10-01,1626.969970703125,74531.0,26220.94921875,45313.0,4254.75,42695.73828125
2015-10-02,1612.56005859375,74396.6015625,,47033.0,4207.673828125,42735.1484375
2015-10-05,1652.469970703125,76902.5,26785.55078125,47598.0,4343.572265625,43566.3203125
2015-10-06,1670.68994140625,77258.6015625,26932.880859375,47735.0,4445.64892578125,43561.421875
2015-10-07,1679.489990234375,78698.203125,27035.849609375,48914.0,4486.9990234375,43832.03125
2015-10-08,1689.3199462890625,78661.0,26845.810546875,49107.0,4491.29931640625,44076.94140625
2015-10-09,1728.43994140625,79214.8984375,27079.509765625,49338.0,4589.2080078125,44375.62109375
2015-10-12,1710.5999755859375,79300.1015625,26904.109375,,4630.56982421875,44314.25
2015-10-13,1720.81005859375,78358.6015625,26846.529296875,47363.0,4482.943359375,44318.19140625
2015-10-14,1723.010009765625,79380.203125,26779.66015625,46710.0,,44064.4296875
2015-10-15,1731.9100341796875,79263.296875,27010.140625,47161.0,4507.06103515625,44087.58984375
2015-10-16,1717.0,78483.5,27214.599609375,47236.0,4521.74755859375,44364.16015625
2015-10-19,1716.0799560546875,79734.5,27364.919921875,47447.0,4569.70849609375,44523.01171875
2015-10-20,1722.6199951171875,80496.5,27306.830078125,47077.0,4585.68798828125,44653.859375
2015-10-21,1709.93994140625,79765.296875,27287.66015625,47026.0,4605.08935546875,44426.0703125
2015-10-22,1712.0999755859375,80255.8984375,,47772.0,4584.42578125,44627.96875
2015-10-23,1725.449951171875,80124.796875,27470.810546875,47597.0,4653.0078125,45010.23828125
2015-10-26,1712.1300048828125,79262.296875,27361.9609375,47209.0,4691.57177734375,45036.51953125
2015-10-27,1725.8900146484375,78662.5,27253.439453125,47043.0,4673.91943359375,44698.01171875
2015-10-28,1726.6099853515625,78536.296875,27039.759765625,46741.0,4608.60302734375,44741.6796875
2015-10-29,1708.5999755859375,,26838.140625,45628.0,4471.88818359375,44634.80859375
2015-10-30,1711.530029296875,,26656.830078125,45869.0,4455.0478515625,44542.76171875
2015-11-02,1735.75,83693.6015625,26559.150390625,,4464.826171875,
2015-11-03,1763.5999755859375,82913.8984375,26590.58984375,48054.0,4532.951171875,45354.58984375
2015-11-04,,83684.1015625,26552.919921875,47710.0,4612.427734375,45373.171875
2015-11-05,1766.280029296875,82955.703125,26304.19921875,48047.0,4577.09716796875,45195.6484375
2015-11-06,1754.3599853515625,81930.203125,26265.240234375,46919.0,4566.416015625,45243.8515625
2015-11-09,1751.43994140625,82050.1015625,26121.400390625,46195.0,4499.373046875,44479.23046875
2015-11-10,1746.93994140625,81174.1015625,25743.259765625,46179.0,4450.92138671875,44359.890625
2015-11-11,1740.56005859375,81718.0,,47065.0,4451.45703125,44347.91015625
2015-11-12,1739.9599609375,82143.3984375,,46884.0,4462.09228515625,44120.51953125
2015-11-13,1728.1700439453125,81878.796875,25610.529296875,46517.0,4472.705078125,43617.73046875
2015-11-16,1739.800048828125,81046.3984375,25760.099609375,46847.0,4442.04833984375,
2015-11-17,1787.22998046875,81152.8984375,25864.470703125,47248.0,4500.81298828125,44184.6484375
2015-11-18,1810.47998046875,80514.203125,25482.51953125,47436.0,4497.7763671875,44505.58984375
